listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"905 Pheasant Cv, Benton, AR 72019",905 Pheasant Cv,forRent,,3,1415,,1595,5,https://www.zillow.com/homedetails/905-Pheasant-Cv-Benton-AR-72019/385747_zpid/,,158000
"1294 Ridge Rd, Benton, AR 72015",1294 Ridge Rd,forRent,,3,1108,,1145,2,https://www.zillow.com/homedetails/1294-Ridge-Rd-Benton-AR-72015/114182952_zpid/,,2000
"3001 Wild Berry Dr, Benton, AR 72015",3001 Wild Berry Dr,forRent,,3,1486,,1725,18,https://www.zillow.com/homedetails/3001-Wild-Berry-Dr-Benton-AR-72015/71716346_zpid/,,184900
"313 S Neeley St, Benton, AR 72015",313 S Neeley St,forRent,,3,1800,,1625,22,https://www.zillow.com/homedetails/313-S-Neeley-St-Benton-AR-72015/2067919637_zpid/,,205000
"5399 Heritage Valley Dr, Benton, AR 72019",5399 Heritage Valley Dr,forRent,,4,1790,,1900,43,https://www.zillow.com/homedetails/5399-Heritage-Valley-Dr-Benton-AR-72019/2062299989_zpid/,,245000
"13757 Cedar Glen Cv, Alexander, AR 72002",13757 Cedar Glen Cv,forRent,,3,1408,,1575,13,https://www.zillow.com/homedetails/13757-Cedar-Glen-Cv-Alexander-AR-72002/92432562_zpid/,,124900
"6688 Hollywood Ave, Benton, AR 72019",6688 Hollywood Ave,forRent,,3,1051,,1595,4,https://www.zillow.com/homedetails/6688-Hollywood-Ave-Benton-AR-72019/460744960_zpid/,,183900
"4533 Western Woods Dr, Benton, AR 72015",4533 Western Woods Dr,forRent,,4,1984,,1845,11,https://www.zillow.com/homedetails/4533-Western-Woods-Dr-Benton-AR-72015/2061640122_zpid/,,313100
"821 Church, Benton, AR 72015",821 Church,forRent,,4,1540,,1675,4,https://www.zillow.com/homedetails/821-Church-Benton-AR-72015/387634_zpid/,,155000
"14095 Magnolia Glen Dr, Alexander, AR 72002",14095 Magnolia Glen Dr,forRent,,3,1228,,1530,7,https://www.zillow.com/homedetails/14095-Magnolia-Glen-Dr-Alexander-AR-72002/88906053_zpid/,,119500
"6413 Amalie Dr, Alexander, AR 72002",6413 Amalie Dr,forRent,,3,1485,,1675,0,https://www.zillow.com/homedetails/6413-Amalie-Dr-Alexander-AR-72002/247595729_zpid/,,198000
"227 Iris St, Haskell, AR 72015",227 Iris St,forRent,,3,1420,,1725,43,https://www.zillow.com/homedetails/227-Iris-St-Haskell-AR-72015/2060765172_zpid/,,195000
"14108 Cherry Hill Dr, Alexander, AR 72002",14108 Cherry Hill Dr,forRent,,3,1100,,1475,27,https://www.zillow.com/homedetails/14108-Cherry-Hill-Dr-Alexander-AR-72002/52934816_zpid/,,155000
"2096 Fern Valley Dr, Alexander, AR 72002",2096 Fern Valley Dr,forRent,,3,1345,,1650,4,https://www.zillow.com/homedetails/2096-Fern-Valley-Dr-Alexander-AR-72002/247595778_zpid/,,188800
"3264 Sidell Estates Dr, Benton, AR 72015",3264 Sidell Estates Dr,forRent,,4,1652,,1795,25,https://www.zillow.com/homedetails/3264-Sidell-Estates-Dr-Benton-AR-72015/2063496322_zpid/,,
"133 Preston Ln, Hensley, AR 72065",133 Preston Ln,forRent,,5,1867,,1895,17,https://www.zillow.com/homedetails/133-Preston-Ln-Hensley-AR-72065/458636124_zpid/,,
"10 Cabernet Way, Mayflower, AR 72106",10 Cabernet Way,forRent,,4,1810,,1845,0,https://www.zillow.com/homedetails/10-Cabernet-Way-Mayflower-AR-72106/463444691_zpid/,,
